species,animal,habitat,sex,slope,hab_slope,site
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.25503437645321,-2.19999783968267,BARR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.17972413012606,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.49510236846996,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.57861315289003,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.54137895486953,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.32771384122676,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.45497377702966,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.64625399290972,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.23372624965052,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.3789693750318,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.60179752515115,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.49105857556618,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.4467500932544,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.08525147675271,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.29393119544472,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.4898443196226,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.12165403165814,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.30503914612855,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.22429844883384,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.02752794242306,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.18545195954588,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.27456015998114,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.21437969078346,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.59323479935331,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.09452344269633,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.11041492163648,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.27014657001714,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.30069693386905,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.35740109673211,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.06310043535682,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.11002680802927,-2.19999783968267,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.37012909072512,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.50659765493309,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.21765337941696,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.48512084737825,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.4698955176604,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.26328054187846,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.57271592079159,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.46780961665286,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.30877979808079,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.26812127452343,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.28159200544024,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.38406958237073,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-2.87410253418444,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.09506234911625,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.46285296214368,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.36130284541465,-2.19999783968267,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-2.79934275131136,-2.19999783968267,LICK
