habitat,slope
bedrock,-3.0486521264442263
bedrock,-3.045897583334456
bedrock,-2.178628992890096
bedrock,-2.4428812340071215
bedrock,-2.5770789474790896
bedrock,-2.4700535344782235
bedrock,-1.7864241000961787
bedrock,-2.2177716150125346
bedrock,-2.5899679472733292
bedrock,-2.7644414834053794
bedrock,-2.5775370021417037
bedrock,-2.6807707307053743
bedrock,-2.675712646934078
bedrock,-2.5903805466921157
bedrock,-2.4110592865974776
bedrock,-2.523290580652955
bedrock,-2.6743241147891847
bedrock,-2.6899005206797826
bedrock,-2.2379798837273794
bedrock,-2.2888401855338514
bedrock,-2.6733243813784076
bedrock,-2.7506266291776047
bedrock,-2.7173224362048107
bedrock,-2.2464571651398506
bedrock,-2.825158423632672
bedrock,-2.7829420474562845
bedrock,-2.666604619358621
bedrock,-2.554206469825045
bedrock,-2.5650626389287137
bedrock,-2.555533538557182
bedrock,-2.509487240903686
bedrock,-2.7041578810318705
bedrock,-2.13036752850687
bedrock,-2.4794292039465993
bedrock,-2.2316901410338374
bedrock,-2.110563246618613
bedrock,-2.5099693045505616
bedrock,-2.5577506141472286
bedrock,-2.5490217663523405
bedrock,-2.4073300453731092
bedrock,-1.951501833794274
bedrock,-1.7591851781109795
bedrock,-2.578845314910464
bedrock,-2.3108545102607208
bedrock,-3.3595327127894405
bedrock,-2.882629085317
bedrock,-1.9077727404268385
bedrock,-0.48565803778532596
bedrock,-2.875239540350868
bedrock,-2.5004334603114926
bedrock,-2.692657725998236
bedrock,-1.5859133434485482
bedrock,-2.488264623150088
bedrock,-2.3611940922985952
bedrock,-2.35442272175715
bedrock,-2.411978586323314
bedrock,-2.6765235633311204
bedrock,-2.6661643058893105
bedrock,-2.2411783815581217
bedrock,-1.9849388571422395
bedrock,-1.4064032829317197
bedrock,-2.6921108241888105
bedrock,-2.3586147817202083
bedrock,-2.1117944943433375
bedrock,-1.7830046485342828
bedrock,-1.6117393150063066
bedrock,-1.9434144215390565
bedrock,-0.9811164162093882
bedrock,-2.3946542376394664
bedrock,-2.3335216881419756
bedrock,-2.789367208827479
bedrock,-2.5416914719479387
bedrock,-2.3273219585728913
bedrock,-1.9719857400572
bedrock,-2.443520362286863
bedrock,-1.781031962341351
bedrock,-2.647973073385071
bedrock,-2.6679656576667945
bedrock,-1.5099693763486122
bedrock,-2.4102480173774223
bedrock,-2.1317802264297434
bedrock,-1.8286969284671937
bedrock,-2.7311855370586207
bedrock,-2.740914712609627
bedrock,-2.0590285622126894
bedrock,-2.0864960328947
bedrock,-2.7197179766681865
bedrock,-1.3733579174335924
bedrock,-2.215300140952647
bedrock,-2.097018941052135
bedrock,-3.095700159607796
bedrock,-2.93096416584983
bedrock,-2.2642857991082703
bedrock,-2.2902434796799405
bedrock,-2.6312812914013506
bedrock,-2.313409367779323
bedrock,-2.1979357551188627
bedrock,-2.6867995873022195
bedrock,-2.5760944916602515
bedrock,-2.0996176221281138
bedrock,-2.062899358218283
bedrock,-2.5167150686508313
bedrock,-2.178797176586861
bedrock,-2.4437007285104206
bedrock,-2.194697422648635
bedrock,-2.268664650917802
bedrock,-2.8238550023521745
bedrock,-2.780517468670361
bedrock,-2.0895783531695327
bedrock,-2.0947748882553543
bedrock,-2.6079099762609133
bedrock,-2.4074034607090944
bedrock,-2.0218536830287666
bedrock,-2.106169699276739
bedrock,-2.7339617622737484
bedrock,-2.5163626947095588
bedrock,-2.511587677910538
bedrock,-2.7633929819099365
bedrock,-2.0185196651651673
bedrock,-1.6167938395038273
bedrock,-1.8160214827697503
bedrock,-2.233756758532914
bedrock,-2.0964692804612945
bedrock,-1.6093914437701757
bedrock,-2.628008803204
bedrock,-2.3932721189393487
bedrock,-2.753638836675903
bedrock,-2.7074370066992848
bedrock,-2.6473589261212394
bedrock,-2.4978985139967014
bedrock,-2.6565478821163375
bedrock,-2.169722067969591
bedrock,-1.833308743133473
bedrock,-2.4900495052616605
bedrock,-2.936559120622048
bedrock,-2.654145617002337
bedrock,-2.755772471583518
bedrock,-2.6249853642398118
bedrock,-1.2755277708687691
bedrock,-1.3882102003525247
bedrock,-2.742651286988525
bedrock,-2.747842143831713
bedrock,-2.8059745330493997
bedrock,-2.1969838451531096
bedrock,-3.956965034496297
bedrock,-2.7841890263224385
bedrock,-1.7576988908715956
bedrock,-0.5003847631803648
bedrock,-3.1914285452339786
bedrock,-2.8973637016503098
bedrock,-2.190678061257625
bedrock,-1.6400585665404368
bedrock,-2.1715405882862173
bedrock,-2.3895921660141917
bedrock,-3.267968754491314
bedrock,-2.4931823762233076
bedrock,-2.3585146175690834
bedrock,-2.2929151995501234
bedrock,-1.7806451319425733
bedrock,-1.9288164586186365
bedrock,-2.131933873872316
bedrock,-3.5802896660997976
bedrock,-3.0044524660605445
bedrock,-2.8006598704429346
bedrock,-2.2046441304474653
bedrock,-2.443898721366456
bedrock,-2.306346373988395
bedrock,-2.552429849298236
bedrock,-2.540924978542862
bedrock,-2.270174581979918
bedrock,-3.2173267338485787
bedrock,-2.7182095927133423
bedrock,-1.7491679375037477
bedrock,-2.460373421723717
bedrock,-2.969470773183226
bedrock,-3.0023327886666826
bedrock,-1.8846223863223506
bedrock,-2.778966369445913
bedrock,-3.1124109779523614
bedrock,-3.0726627720431825
bedrock,-2.220988112565077
bedrock,-2.567416676118482
bedrock,-2.043196362619236
bedrock,-2.4683383859175474
bedrock,-2.3377474653940067
bedrock,-2.926558652661272
bedrock,-2.4400935682264118
bedrock,-2.452474129557652
bedrock,-2.112246738899659
bedrock,-1.8223257199902787
bedrock,-2.8842734205289227
bedrock,-2.879278040463402
bedrock,-2.6022425009207386
bedrock,-2.6735160806611833
bedrock,-1.800121534569539
bedrock,-2.0831486510504553
bedrock,-1.8446361966067266
bedrock,-1.9887025254293291
bedrock,-2.087529317146063
bedrock,-2.3716127839045646
bedrock,-2.4061587502791317
bedrock,-2.2005293337711582
bedrock,-2.738860059887371
bedrock,-1.8529503142171226
bedrock,-2.4677520268832813
bedrock,-2.353960194971853
bedrock,-2.1806648527085124
bedrock,-2.4280663089716685
bedrock,-2.363921051862339
bedrock,-2.3066906349822256
bedrock,-2.2328583118033447
bedrock,-2.4959594853731373
bedrock,-2.4793024409309856
bedrock,-2.3521707344160583
bedrock,-2.500838814163569
bedrock,-2.4407196114472662
bedrock,-2.0921263349367183
bedrock,-2.3445213236526983
bedrock,-2.110610664994575
bedrock,-2.19978404843618
bedrock,-1.7073835347538202
bedrock,-1.7471704229466818
bedrock,-2.314456892504573
bedrock,-1.6115825851710444
bedrock,-0.5304817063309739
bedrock,-2.2543299631329092
bedrock,-2.5735506888193416
bedrock,-1.9387887975345186
bedrock,-0.49799074296112517
bedrock,-0.7321773786491947
bedrock,-2.177005838183782
bedrock,-2.232588162445741
sand,-2.125687227719787
sand,-2.1220747485585116
