habitat,slope
bedrock,-3.078187787761716
bedrock,-2.3005427022980363
bedrock,-2.979546284490532
bedrock,-2.575852165431352
bedrock,-2.868454834461444
bedrock,-2.761395609039185
bedrock,-2.0612252210266004
bedrock,-2.1328379405489395
bedrock,-1.9742010383737576
bedrock,-2.4217678252656087
bedrock,-3.0692367525364372
bedrock,-3.127391978397032
bedrock,-3.094635072951264
bedrock,-2.589940440768518
bedrock,-2.732933428799017
bedrock,-2.677391767262334
bedrock,-2.750632720992782
bedrock,-2.2441504716337266
bedrock,-2.3988277053707163
bedrock,-2.6694964921385362
bedrock,-2.3040508054431235
bedrock,-2.430330131977485
bedrock,-3.579820014517852
bedrock,-1.9809580269600353
bedrock,-2.6318807387563505
bedrock,-3.2388330961451506
bedrock,-2.8309683527253466
bedrock,-2.2323711128927997
bedrock,-2.3761870538671923
bedrock,-2.3433731455292706
bedrock,-1.8671564456787106
bedrock,-2.597014678960819
bedrock,-2.017563158260509
bedrock,-1.940770892767563
bedrock,-2.191306635675062
bedrock,-2.619931081325023
bedrock,-2.2091224786490744
bedrock,-2.542847521115789
bedrock,-3.1504096025269033
bedrock,-2.425244266302575
bedrock,-2.5405199560645744
bedrock,-2.733234219351052
bedrock,-2.1834108871433098
bedrock,-0.5558542348968054
bedrock,-2.8418234494411863
bedrock,-3.656732730467902
bedrock,-2.627948738664356
bedrock,-2.5463276229668548
bedrock,-2.191126571875043
bedrock,-2.914030536651763
bedrock,-2.562821316400236
bedrock,-2.659568375619024
bedrock,-2.835245277877111
bedrock,-2.744079594523674
bedrock,-1.8984086758142398
bedrock,-2.7941085694031242
bedrock,-2.2738161737205385
bedrock,-2.6253648728582144
bedrock,-3.2461584481879107
bedrock,-2.727901029975982
bedrock,-2.1845128995225656
bedrock,-1.559587810798058
bedrock,-2.8288237631431925
bedrock,-2.4430201720841307
bedrock,-2.931807022516968
bedrock,-2.8090071517924247
bedrock,-1.7915550580257071
bedrock,-2.4750266337515865
bedrock,-2.873990434572748
bedrock,-2.420602687248751
bedrock,-2.1408510310393787
bedrock,-2.7362705801645304
bedrock,-3.640689629529583
bedrock,-1.1491961434694593
bedrock,-3.412751068977525
bedrock,-2.02379739407064
bedrock,-2.7988509304491602
bedrock,-2.9627153603440806
bedrock,-1.7779841722166498
bedrock,-2.3636390781999497
bedrock,-3.842577304839292
bedrock,-2.794009716543842
bedrock,-3.0462350714745496
bedrock,-1.5878751049678326
bedrock,-2.7082550731291284
bedrock,-3.3592953569530195
bedrock,-2.7334708548342763
bedrock,-2.540407449647663
bedrock,-2.5619842273065006
bedrock,-2.743497263774973
bedrock,-2.7741540292392224
bedrock,-2.161959010029618
bedrock,-2.7866697741142503
bedrock,-2.528665321277398
bedrock,-2.0533531449128364
bedrock,-3.0968700185893625
bedrock,-3.3923721362206205
bedrock,-1.802038175495509
bedrock,-1.5909526832195606
bedrock,-2.28313233230794
bedrock,-2.642668685393518
bedrock,-2.287320132361767
bedrock,-2.6003634715250694
bedrock,-2.4208947560559047
bedrock,-2.39251069850222
bedrock,-2.499150362686962
bedrock,-2.535647055108989
bedrock,-2.5640888063318803
bedrock,-1.7399722796611452
bedrock,-2.1949977283047737
bedrock,-2.4378519758747355
bedrock,-2.380820561103834
bedrock,-2.3643033436991208
bedrock,-2.520041232651223
bedrock,-2.268411450390392
bedrock,-1.684325314748037
sand,-1.076503437102197
sand,-0.5889159907217868
sand,-1.6983485518314245
sand,-1.3677710088063904
sand,-2.1467248300668964
sand,-2.243356648092785
sand,-2.1207337581437904
sand,-2.418282028757982
sand,-2.0990527463198587
sand,-1.4121345521610031
sand,-3.021146498165701
sand,-2.6673980408504554
sand,-2.6009131103842282
sand,-1.4745889158400496
sand,-3.1559689249861766
sand,-2.0678789704645175
sand,-1.6762388944444444
sand,-1.6446789264499928
sand,-2.1874751131156986
sand,-2.4447666628573126
sand,-2.905022606417737
sand,-2.4142318614856473
sand,-2.024886722929691
sand,-2.9425979163444786
sand,-0.9612461499647916
sand,-3.0160458292885353
sand,-1.1407056897318721
sand,-3.091211979110225
sand,-1.687316989564466
sand,-1.1749392747450944
sand,-1.6789980144872725
sand,-0.8206731273334754
sand,-1.9150195442847904
sand,-2.6689667681205376
sand,-2.2722876734085253
sand,-2.3840330109926953
sand,-2.5616172756283695
sand,-2.269089567786044
sand,-2.3593281078752795
sand,-2.341106040541992
sand,-2.0470129660005725
sand,-2.98867033895987
sand,-3.0655285358539857
sand,-2.952945476480519
sand,-2.2254521899005484
sand,-1.8745193137311538
sand,-0.7984634480046711
sand,-2.9452746410675488
sand,-1.9750175711131872
sand,-3.853888218551161
sand,-2.914857589989813
sand,-2.568389038346905
sand,-1.9088099072183637
sand,-2.417672759725334
sand,-2.0489317702276786
sand,-3.3670624021235915
sand,-3.123148003025031
sand,-2.6197742163707365
sand,-1.2862551599832188
sand,-1.7856986983430971
sand,-2.692854642935423
sand,-1.5475676208477005
sand,-2.007057075984998
sand,-0.8149338684174423
sand,-2.9657005481885923
sand,-2.966114576929393
sand,-2.706619168369015
sand,-2.1832507937865517
sand,-2.3723979255760925
sand,-1.4129887262643335
sand,-2.969068009811891
sand,-2.2665087421775842
sand,-0.21396397091221542
sand,-2.4071764427706634
sand,-0.7962366361431364
sand,-2.1523942257889686
sand,-0.7992784887270334
sand,-1.9663311867239668
sand,-2.2841517420549957
sand,-1.69193701074295
sand,-2.372284195588795
sand,-2.4723611261015734
sand,-2.597424292973378
sand,-1.8757675778576022
sand,-2.7450937734581298
sand,-1.7548830266641162
sand,-0.754728420953314
sand,-2.5907196265964485
sand,-0.6089083058712222
sand,-1.2077913704390766
sand,-2.7949512086432335
sand,-2.5435187855397072
sand,-2.597195913265878
sand,-0.3250661079787977
sand,-0.6485414331290291
sand,-1.778754154260574
sand,-2.147265029995927
sand,-2.3985909301317
sand,-2.1983778930885847
sand,-1.845961146017821
sand,-2.3250605941910765
sand,-2.055850464566227
sand,-2.622656098465144
sand,-1.6568162448920383
sand,-2.6992868881806253
sand,-1.9639072408576415
sand,-0.9075456419376516
sand,-2.624482369990187
sand,-2.8753452423408965
sand,-2.5968778825210195
detritus,-2.2259496637946445
detritus,-1.13683799822211
detritus,-2.728037812856389
detritus,-2.847956916703397
detritus,-1.8082194999795715
detritus,-2.248861149392628
detritus,-1.424997486076101
detritus,-2.3531319191059232
detritus,-2.830991384400524
detritus,-2.100713548503542
detritus,-2.3059479128531972
detritus,-2.859986102870707
detritus,-2.70534573502984
detritus,-2.0875589411261544
detritus,-1.6309795735295236
detritus,-1.0839279282867669
detritus,-2.512154130173166
detritus,-2.4134665326088576
detritus,-2.715723855534535
detritus,-2.8493401351747685
detritus,-2.3600421895002945
detritus,-1.7656792641861137
detritus,-2.334239372282643
detritus,-2.152652089670855
detritus,-3.018497865024723
