species,animal,habitat,sex,slope,hab_slope,site
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.025352375252329,-3.0756953493710264,BARR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.3408860221697263,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.5422626604405636,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.231754825081212,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.3891470988707315,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.5742244303794206,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.568590117282572,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.5577818359145756,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.0861150563724284,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.105639166602737,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.5489901992499315,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.044368464329218,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.194690190890072,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.462827359029581,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.7942422345723057,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.419123484359448,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.1741031496120313,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.3117831986294006,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.2658686481650916,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.1455378574948054,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.3067611089490003,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.11731869947039,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.448138156993127,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.1533876570885275,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.1392374238047944,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.00800165715502,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.3350214479444458,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-2.859112740765659,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-2.7764566394662786,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-2.7105974893519127,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-3.2512513437109387,-3.0756953493710264,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.594036316476224,-3.0756953493710264,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-2.9733342964217035,-3.0756953493710264,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.4142779082669894,-3.0756953493710264,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.217301166464121,-3.0756953493710264,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.392557501643527,-3.0756953493710264,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.6580730278287774,-3.0756953493710264,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-3.2118211005967963,-3.0756953493710264,LICK
