habitat,slope
bedrock,-2.730027948168691
bedrock,-3.357586680013314
bedrock,-4.091599350925464
bedrock,-4.00625464296885
bedrock,-3.4542989442006204
bedrock,-3.2369597548256412
bedrock,-3.9982806494791725
bedrock,-3.23079059754036
bedrock,-4.250938938821341
bedrock,-4.394383432358297
bedrock,-2.951710769674344
bedrock,-2.7381965247546383
bedrock,-3.970165741604956
bedrock,-2.8341281868427446
bedrock,-3.29719494400633
bedrock,-2.700012680425377
bedrock,-4.231603449638907
bedrock,-4.40403614416356
bedrock,-3.9034632056446523
bedrock,-3.3953637791989264
bedrock,-4.454771477293478
bedrock,-4.532563220329888
bedrock,-3.035006857595964
bedrock,-3.401682783091229
bedrock,-3.100325474295854
bedrock,-3.657221224700688
bedrock,-3.8032030651431157
bedrock,-4.299454292784893
bedrock,-2.8512224142521037
bedrock,-3.868140260604786
bedrock,-3.387530344891971
bedrock,-3.0452296252624773
bedrock,-3.9269078935030084
bedrock,-3.479886425221219
bedrock,-3.123267645590229
bedrock,-3.3640828852633797
bedrock,-1.9105081530708001
bedrock,-2.051556603466381
bedrock,-3.029189104477441
bedrock,-3.3200051563166197
bedrock,-3.0493607456909255
bedrock,-3.428681320971203
bedrock,-3.2872996582088057
bedrock,-3.094597750678254
bedrock,-3.0604765665811033
bedrock,-3.4681934774403707
bedrock,-3.3135755062126337
bedrock,-3.926622183672537
bedrock,-2.582070667139198
bedrock,-2.579480847852526
bedrock,-2.630041265455316
bedrock,-2.6396211190002967
bedrock,-2.2525110245324456
bedrock,-2.912555593505859
bedrock,-2.8936826915965583
bedrock,-3.1343149464345363
bedrock,-2.383519781336123
bedrock,-2.7158654462270455
bedrock,-2.407497332307928
bedrock,-2.533130455371224
bedrock,-2.4655566517171454
bedrock,-2.980323453414101
bedrock,-1.8740888443750514
bedrock,-3.072777787228126
bedrock,-3.657874395672199
bedrock,-3.8175915080139093
bedrock,-3.2417964598153755
bedrock,-3.4189247138843464
bedrock,-2.9608094533108202
bedrock,-3.1351896157859303
bedrock,-2.775444610587417
bedrock,-2.6642891296135014
bedrock,-2.8090314749088368
bedrock,-3.108306465965442
bedrock,-3.2279785434338173
bedrock,-3.0620494712980326
bedrock,-3.0466778759636837
bedrock,-2.7307413552999735
bedrock,-3.2180708126787976
bedrock,-2.987622286872489
bedrock,-2.5811283986567646
